key,value,date
questions,19,1
questions,23,2
questions,14,3
questions,8,4
questions,5,5
questions,18,6
questions,13,7
questions,10,8
questions,15,9
questions,27,10
questions,32,11
questions,15,12
answer,18,1
answer,22,2
answer,19,3
answer,11,4
answer,7,5
answer,23,6
answer,21,7
answer,11,8
answer,15,9
answer,32,10
answer,37,11
answer,26,12
