key,value,date
questions,35,1
questions,31,2
questions,37,3
questions,26,4
questions,26,5
questions,17,6
questions,20,7
questions,27,8
questions,28,9
questions,39,10
questions,58,11
questions,31,12
answer,32,1
answer,37,2
answer,42,3
answer,34,4
answer,27,5
answer,20,6
answer,23,7
answer,28,8
answer,28,9
answer,47,10
answer,59,11
answer,44,12
