key,value,date
questions,35,1
questions,24,2
questions,32,3
questions,31,4
questions,16,5
questions,33,6
questions,40,7
questions,29,8
questions,31,9
questions,53,10
questions,49,11
questions,42,12
answer,33,1
answer,40,2
answer,40,3
answer,39,4
answer,26,5
answer,33,6
answer,37,7
answer,41,8
answer,41,9
answer,53,10
answer,67,11
answer,53,12
