key,value,date
questions,122,1
questions,118,2
questions,106,3
questions,101,4
questions,113,5
questions,97,6
questions,133,7
questions,130,8
questions,140,9
questions,238,10
questions,174,11
questions,159,12
answer,137,1
answer,163,2
answer,112,3
answer,116,4
answer,155,5
answer,108,6
answer,171,7
answer,182,8
answer,178,9
answer,250,10
answer,216,11
answer,192,12
