key,value,date
questions,13,1
questions,15,2
questions,7,3
questions,13,4
questions,11,5
questions,13,6
questions,12,7
questions,18,8
questions,22,9
questions,32,10
questions,21,11
questions,19,12
answer,20,1
answer,20,2
answer,9,3
answer,18,4
answer,14,5
answer,16,6
answer,23,7
answer,19,8
answer,26,9
answer,33,10
answer,26,11
answer,27,12
