key,value,date
questions,18,1
questions,16,2
questions,19,3
questions,18,4
questions,16,5
questions,11,6
questions,9,7
questions,13,8
questions,11,9
questions,19,10
questions,29,11
questions,15,12
answer,23,1
answer,29,2
answer,22,3
answer,19,4
answer,25,5
answer,16,6
answer,18,7
answer,18,8
answer,16,9
answer,17,10
answer,39,11
answer,20,12
