key,value,date
questions,36,1
questions,42,2
questions,36,3
questions,28,4
questions,31,5
questions,38,6
questions,59,7
questions,42,8
questions,37,9
questions,59,10
questions,48,11
questions,48,12
answer,38,1
answer,55,2
answer,41,3
answer,32,4
answer,43,5
answer,47,6
answer,69,7
answer,48,8
answer,49,9
answer,58,10
answer,57,11
answer,64,12
