key,value,date
questions,9,1
questions,7,2
questions,13,3
questions,10,4
questions,14,5
questions,11,6
questions,20,7
questions,10,8
questions,12,9
questions,19,10
questions,16,11
questions,12,12
answer,11,1
answer,6,2
answer,18,3
answer,12,4
answer,17,5
answer,10,6
answer,22,7
answer,10,8
answer,16,9
answer,18,10
answer,22,11
answer,13,12
