key,value,date
questions,12,1
questions,13,2
questions,5,3
questions,11,4
questions,6,5
questions,8,6
questions,11,7
questions,12,8
questions,7,9
questions,25,10
questions,25,11
questions,11,12
answer,18,1
answer,22,2
answer,9,3
answer,16,4
answer,10,5
answer,9,6
answer,17,7
answer,14,8
answer,7,9
answer,25,10
answer,28,11
answer,18,12
